"population","pop2024","pop2023","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","countyfips","state"
1676481,1676481,0,0,1448998,0,"AZ",455000,2411414,"Phoenix","2",0,1342470000,2592340,518.331,1.001,33.5722,-112.09,"phoenix-az",38060,"4013|4021","Arizona"
983126,983126,0,0,806214,0,"TX",4805000,2409761,"Austin","2",0,845280000,17024300,326.365,6.573,30.2986,-97.7541,"austin-tx",12420,"48055|48209|48453|48021|48491","Texas"
909676,909676,0,0,790942,0,"OH",3918000,1086101,"Columbus","2",0,571676000,15168900,220.725,5.857,39.9839,-82.9849,"columbus-oh",18140,"39049|39041|39159|39097|39089|39045|39129","Ohio"
874089,874089,0,0,821576,0,"IN",1836003,2395424,"Indianapolis (balance)","0",0,935029000,17916800,361.017,6.918,39.7767,-86.1459,"indianapolis-in",0,"18011|18057|18097|18063|18109|18059|18145|18081","Indiana"
708948,708948,0,0,603012,0,"CO",820000,2410324,"Denver","2",0,396460000,4275560,153.074,1.651,39.7618,-104.881,"denver-co",19740,"8005|8031|8059|8001","Colorado"
706576,706576,0,0,582560,0,"OK",4055000,2411311,"Oklahoma City","2",0,1570770000,37062600,606.479,14.31,35.4671,-97.5137,"oklahoma-city-ok",36420,"40109|40027|40083|40017|40081|40125","Oklahoma"
677519,677519,0,0,604644,0,"TN",4752006,2405092,"Nashville-Davidson (balance)","0",0,1231710000,55965800,475.566,21.608,36.1718,-86.785,"nashville-tn",0,"47037|47021|47125|47187|47147|47165|47189|47149","Tennessee"
629842,629842,0,0,621053,0,"MA",2507000,619463,"Boston","2",0,125201000,106898000,48.34,41.274,42.3386,-71.0182,"boston-ma",14460,"25025|25021|25017","Massachusetts"
530334,530334,0,0,467246,0,"CA",664000,2411751,"Sacramento","2",0,255492000,5413140,98.646,2.09,38.5677,-121.468,"sacramento-ca",40900,"6067","California"
498386,498386,0,0,429414,0,"GA",1304000,2403126,"Atlanta","2",0,350304000,2798090,135.253,1.08,33.7629,-84.4227,"atlanta-ga",12060,"13089|13121|13063","Georgia"
488854,488854,0,0,406412,0,"NC",3755000,2404590,"Raleigh","2",0,387067000,2777410,149.447,1.072,35.8319,-78.641,"raleigh-nc",39580,"37183|37101|37063|37069|37077","North Carolina"
338455,338455,0,0,339134,0,"HI",1571550,2630783,"Honolulu","5",0,157010000,20284400,60.622,7.832,21.3243,-157.848,"honolulu-hi",46520,"15003","Hawaii"
295222,295222,0,0,285504,0,"MN",2758000,2396511,"St. Paul","2",0,134608000,10701400,51.973,4.132,44.9489,-93.1041,"st-paul-mn",33460,"27123|27037","Minnesota"
293678,293678,0,0,259464,0,"NE",3128000,2395713,"Lincoln","2",0,258920000,3524100,99.97,1.361,40.8089,-96.6779,"lincoln-ne",30700,"31109|31025|31159","Nebraska"
275493,275493,0,0,233977,0,"WI",5548000,1583625,"Madison","2",0,215197000,55457400,83.088,21.412,43.0878,-89.4299,"madison-wi",31540,"55021|55025","Wisconsin"
237250,237250,0,0,209586,0,"ID",1608830,2409876,"Boise City","2",0,218992000,2564230,84.553,0.99,43.6002,-116.232,"boise-id",14260,"16001|16045|16015|16039","Idaho"
231782,231782,0,0,204375,0,"VA",5167000,1789073,"Richmond","2",0,155205000,6849160,59.925,2.644,37.5314,-77.476,"richmond-va",40060,"51041|51145|51760|51087|51036","Virginia"
216641,216641,0,0,229239,0,"LA",2205000,2403821,"Baton Rouge","2",0,225182000,5708640,86.943,2.204,30.4404,-91.1332,"baton-rouge-la",12940,"22033","Louisiana"
208656,208656,0,0,186646,0,"UT",4967000,2411771,"Salt Lake City","2",0,287206000,1163130,110.891,0.449,40.7769,-111.931,"salt-lake-city-ut",41620,"49035","Utah"
208254,208254,0,0,205042,0,"IA",1921000,2394522,"Des Moines","2",0,228340000,6585160,88.162,2.543,41.5726,-93.6102,"des-moines-ia",19780,"19153|19181|19121","Iowa"
205536,205536,0,0,181441,0,"FL",1270600,2405563,"Tallahassee","2",0,265288000,7544000,102.428,2.913,30.4535,-84.2523,"tallahassee-fl",45220,"12073","Florida"
203106,203106,0,0,193983,0,"AR",541000,2404939,"Little Rock","2",0,311526000,7661300,120.281,2.958,34.7254,-92.3586,"little-rock-ar",30780,"5119|5125","Arkansas"
193948,193948,0,0,205583,0,"AL",151000,2404289,"Montgomery","2",0,414027000,6249600,159.857,2.413,32.3485,-86.2673,"montgomery-al",33860,"1085|1101|1051","Alabama"
188398,188398,0,0,177996,0,"RI",4459000,1220076,"Providence","2",0,47670900,5643960,18.406,2.179,41.8231,-71.4188,"providence-ri",39300,"44007","Rhode Island"
179043,179043,0,0,155223,0,"OR",4164900,2411764,"Salem","2",0,126731000,1425880,48.931,0.551,44.9239,-123.023,"salem-or",41420,"41047|41053|41071","Oregon"
143210,143210,0,0,130909,0,"SC",4516000,2404107,"Columbia","2",0,358103000,7442950,138.264,2.874,34.0405,-80.9061,"columbia-sc",17900,"45079|45039|45055|45063","South Carolina"
138998,138998,0,0,173703,0,"MS",2836000,2404779,"Jackson","2",0,289262000,5532980,111.685,2.136,32.3158,-90.2129,"jackson-ms",27140,"28049|28089|28121","Mississippi"
124479,124479,0,0,127918,0,"KS",2071000,485655,"Topeka","2",0,159702000,3416280,61.661,1.319,39.0347,-95.6948,"topeka-ks",45820,"20045|20139|20177|20197|20085|20087","Kansas"
120734,120734,0,0,125349,0,"CT",937000,2378277,"Hartford","2",0,45012600,1751550,17.379,0.676,41.7659,-72.6816,"hartford-ct",25540,"9003","Connecticut"
112520,112520,0,0,114326,0,"MI",2646000,1626588,"Lansing","2",0,101489000,1646270,39.185,0.636,42.7143,-84.5609,"lansing-mi",29620,"26037|26065|26045|26067","Michigan"
112282,112282,0,0,117139,0,"IL",1772000,2395940,"Springfield","2",0,158666000,16399600,61.261,6.332,39.7911,-89.6446,"springfield-il",44100,"17167|17021|17137","Illinois"
102988,102988,0,0,97746,0,"NY",3601000,978659,"Albany","2",0,55435400,1377120,21.404,0.532,42.6657,-73.7984,"albany-ny",10580,"36001","New York"
90292,90292,0,0,81021,0,"NM",3570500,2411821,"Santa Fe","2",0,135282000,289025,52.233,0.112,35.662,-105.982,"santa-fe-nm",42140,"35049","New Mexico"
88744,88744,0,0,85008,0,"NJ",3474000,885421,"Trenton","2",0,19700200,1548920,7.606,0.598,40.2238,-74.7636,"trenton-nj",45940,"34021|34005","New Jersey"
75153,75153,0,0,61595,0,"ND",3807200,1035934,"Bismarck","2",0,89833600,1288030,34.685,0.497,46.8146,-100.77,"bismarck-nd",13900,"38015","North Dakota"
